Model Name,WER (%),CER (%),Inference Time (s),Dataset Used,Sample Size,# Params (M),Hugging Face Link,Hardware Info,Last Updated,Notes
MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,27.17,7.71,23m 42s,hsekhalilian/fleurs validation,369,1543.49,https://huggingface.co/MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/speech-to-text-rnnt-finetuned,28.12,7.91,14s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/speech-to-text-rnnt-finetuned,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/Speech_To_Text_Finetuning_02,28.5,8.84,13s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_02,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/Speech_To_Text_Finetuning_03,31.66,10.91,14s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_03,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
alifarokh/wav2vec2-xls-r-300m-fa,34.52,9.13,46s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/alifarokh/wav2vec2-xls-r-300m-fa,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-large-v3-turbo,35.08,9.05,5m 32s,hsekhalilian/fleurs validation,369,808.88,https://huggingface.co/openai/whisper-large-v3-turbo,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-large-v3,35.2,8.34,23m 22s,hsekhalilian/fleurs validation,369,1543.49,https://huggingface.co/openai/whisper-large-v3,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
m3hrdadfi/wav2vec2-large-xlsr-persian-shemo,35.86,8.54,47s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-shemo,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
m3hrdadfi/wav2vec2-large-xlsr-persian-v3,35.98,10.48,51s,hsekhalilian/fleurs validation,369,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-v3,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
jonatasgrosman/wav2vec2-large-xlsr-53-persian,36.7,10.67,52s,hsekhalilian/fleurs validation,369,315.51,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-persian,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
alifarokh/nemo-conformer-medium-fa,38.32,12.37,10s,hsekhalilian/fleurs validation,369,30.51,https://huggingface.co/alifarokh/nemo-conformer-medium-fa,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-large-v2,38.33,9.62,23m 58s,hsekhalilian/fleurs validation,369,1543.3,https://huggingface.co/openai/whisper-large-v2,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
m3hrdadfi/wav2vec2-large-xlsr-persian-v2,40.31,11.71,50s,hsekhalilian/fleurs validation,369,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-v2,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-large-v3,41.35,14.61,20m 24s,hsekhalilian/commonvoice dev,1000,1543.49,https://huggingface.co/openai/whisper-large-v3,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
alifarokh/wav2vec2-xls-r-300m-fa,43.53,12.79,50s,hsekhalilian/fleurs validation,369,315.48,https://huggingface.co/alifarokh/wav2vec2-xls-r-300m-fa,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
nvidia/stt_fa_fastconformer_hybrid_large,44.1,26.71,13s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/nvidia/stt_fa_fastconformer_hybrid_large,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-large,47.28,14.32,23m 0s,hsekhalilian/fleurs validation,369,1543.3,https://huggingface.co/openai/whisper-large,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-large-v2,47.68,17.81,20m 58s,hsekhalilian/commonvoice dev,1000,1543.3,https://huggingface.co/openai/whisper-large-v2,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/FastConformer-Hybrid-Transducer-CTC-BPE,48.35,20.93,21s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/FastConformer-Hybrid-Transducer-CTC-BPE,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
m3hrdadfi/wav2vec2-large-xlsr-persian-shemo,48.67,13.2,52s,hsekhalilian/fleurs validation,369,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-shemo,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/FastConformer-Hybrid-Transducer-CTC-BPE,51.64,25.2,14s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/FastConformer-Hybrid-Transducer-CTC-BPE,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-medium,52.04,15.83,17m 32s,hsekhalilian/fleurs validation,369,763.86,https://huggingface.co/openai/whisper-medium,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-large,55.24,23.14,23m 4s,hsekhalilian/commonvoice dev,1000,1543.3,https://huggingface.co/openai/whisper-large,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-large-v3-turbo,55.78,29.42,7m 40s,hsekhalilian/commonvoice dev,1000,808.88,https://huggingface.co/openai/whisper-large-v3-turbo,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
facebook/mms-1b-all,101.94,83.47,2m 6s,hsekhalilian/fleurs validation,369,964.85,https://huggingface.co/facebook/mms-1b-all,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
facebook/mms-1b-all,102.59,84.93,1m 49s,hsekhalilian/commonvoice dev,1000,964.85,https://huggingface.co/facebook/mms-1b-all,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-base,103.63,47.37,5m 55s,hsekhalilian/fleurs validation,369,72.59,https://huggingface.co/openai/whisper-base,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
openai/whisper-base,163.19,117.47,5m 36s,hsekhalilian/commonvoice dev,1000,72.59,https://huggingface.co/openai/whisper-base,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
